ACTUAL DATA,REFERENCE DATA
Bronx,BRONX
Brooklyn,BROOKLYN
Manhattan,MANHATTAN
Queens,QUEENS
Staten Island,STATEN ISLAND
B,BRONX
K,BROOKLYN
M,MANHATTAN
Q,QUEENS
S,STATEN ISLAND
BR,BRONX
BK,BROOKLYN
MA,MANHATTAN
QU,QUEENS
SI,STATEN ISLAND
