Agency,Agency Name
DOE,SCHOOL - MONROE ACADEMY FOR VISUAL ARTS AND DESIGN
DOE,SCHOOL - JOHN ADAMS HIGH SCHOOL
DOE,SCHOOL - PS 49 WILLIS AVENUE
DOE,SCHOOL - MS 324 - PATRIA MIRABAL
DOE,SCHOOL - JHS 118 WILLIAM W NILES
DOE,SCHOOL - GROVER CLEVELAND HIGH SCHOOL
DOE,SCHOOL - PS 133 WILLIAM A BUTLER
DOE,SCHOOL - PS 205 CLARION
DOE,SCHOOL - HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS
DOE,SCHOOL - MANHATTAN - HUNTER SCIENCE HIGH SCHOOL
DOE,SCHOOL - PS 186 WALTER J DAMROSCH SCHOOL
DOE,SCHOOL - PS 69 JACKSON HEIGHTS
DOE,SCHOOL - MS 399
DOE,SCHOOL - PS 222 KATHERINE R SNYDER
DOE,SCHOOL - FRANCIS LEWIS HIGH SCHOOL
DOE,SCHOOL - ACADEMY FOR ENVIRONMENTAL LEADERSHIP
DOE,SCHOOL - PS 140 NATHAN STRAUS
DOE,SCHOOL - FRANKLIN DELANO ROOSEVELT HIGH SCHOOL
DOE,SCHOOL - PS 184 FLUSHING MANOR
DOE,SCHOOL - PS 304 EARLY CHILDHOOD SCHOOL
DOE,SCHOOL - PS 40 SAMUEL HUNTINGTON
DOE,SCHOOL - TITO PUENTE EDUCATION COMPLEX
DOE,SCHOOL - FOREST HILLS HIGH SCHOOL
DOE,SCHOOL - PS 158 WARWICK
DOE,SCHOOL - WILLIAM CULLEN BRYANT HIGH SCHOOL
DOE,SCHOOL - PS 167 THE PARKWAY
DOE,SCHOOL - PS 162 JOHN GOLDEN
DOE,SCHOOL - PS 177 THE MARLBORO
DOE,SCHOOL - PS 106 PARKCHESTER
DOE,SCHOOL - PS 346 ABE STARK
DOE,SCHOOL - PS 46 EDGAR ALLAN POE
DOE,SCHOOL - PS 45 JOHN TYLER
DOE,SCHOOL - PS 33 CHELSEA SCHOOL
DOE,SCHOOL - INTERNATIONAL HIGH SCHOOL AT LAFAYETTE
DOE,SCHOOL - HIGH SCHOOL FOR CIVIL RIGHTS
DOE,SCHOOL - HERBERT H LEHMAN HIGH SCHOOL
DOE,SCHOOL - HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY
DOE,SCHOOL - GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
DOE,SCHOOL - GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
DOE,SCHOOL - FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL
DOE,SCHOOL - FREDERICK DOUGLASS ACADEMY
DOE,SCHOOL - FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL
DOE,SCHOOL - EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL
DOE,SCHOOL - ELIJAH STROUD MIDDLE SCHOOL
DOE,SCHOOL - EAST SIDE COMMUNITY HIGH SCHOOL
DOE,SCHOOL - EARTH SCHOOL
DOE,SCHOOL - JHS 14 SHELL BANK
DOE,SCHOOL - EBC-ENY HIGH SCHOOL FOR PUBLIC SAFETY AND LAW
DOE,SCHOOL - CYNTHIA JENKINS SCHOOL
DOE,SCHOOL - CROTONA ACADEMY HIGH SCHOOL
DOE,SCHOOL - CORNERSTONE ACADEMY FOR SOCIAL ACTION
DOE,SCHOOL - COLUMBIA SECONDARY SCHOOL
DOE,SCHOOL - COALITION SCHOOL FOR SOCIAL CHANGE
DOE,SCHOOL - CHRISTOPHER COLUMBUS HIGH SCHOOL
DOE,SCHOOL - CHILDRENS WORKSHOP AT PS 361
DOE,SCHOOL - CARL C ICAHN SOUTH BRONX CHARTER SCHOOL
DOE,SCHOOL - BROOKLYN ACADEMY HIGH SCHOOL
DOE,SCHOOL - BRONX LITTLE SCHOOL
DOE,SCHOOL - HARRIET TUBMAN CHARTER SCHOOL
DOE,SCHOOL - PS 6 WEST FARMS
DOE,SCHOOL - HARRY S TRUMAN HIGH SCHOOL
DOE,SCHOOL - PS 105 SENATOR ABRAHAM BERNSTEIN
DOE,SCHOOL - PS 151 MARY D CARTER
DOE,SCHOOL - PS 108 SAL ABBRACCIAMENTO
DOE,SCHOOL - PS 86
DOE,SCHOOL - PS-IS 268
DOE,SCHOOL - PS 63 OLD SOUTH
DOE,SCHOOL - STATEN ISLAND TECHNICAL HIGH SCHOOL
DOE,SCHOOL - PS 261 PHILIP LIVINGSTON
DOE,SCHOOL - PS 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL
DOE,SCHOOL - PS 14 SENATOR JOHN CALANDRA
DOE,SCHOOL - PS - MS 114 BELLE HARBOR
DOE,SCHOOL - IS 187
DOE,SCHOOL - PS 65 MOTHER HALE ACADEMY
DOE,SCHOOL - JHS 54 BOOKER T WASHINGTON
DOE,SCHOOL - JHS 127 THE CASTLE HILL
DOE,SCHOOL - PS 75
DOE,SCHOOL - IS 364 GATEWAY
DOE,SCHOOL - PS 73 THOMAS S BOYLAND
DOE,SCHOOL - PS 205 ALEXANDER GRAHAM BELL
DOE,SCHOOL - PS 99 ISAAC ASIMOV
DOE,SCHOOL - JHS 201 THE DYKER HEIGHTS
DOE,SCHOOL - LOUIS D BRANDEIS HIGH SCHOOL
DOE,SCHOOL - PS 11 WILLIAM T HARRIS
DOE,SCHOOL - IS 24 MYRA S BARNES
DOE,SCHOOL - PS 30 WESTERLEIGH
DOE,SCHOOL - PS 11 KATHRYN PHELAN
DOE,SCHOOL - PS 90 GEORGE MEANY
DOE,SCHOOL - PS 122 MAMIE FAY
DOE,SCHOOL - PS 44 THOMAS C BROWN
DOE,SCHOOL - SUSAN E WAGNER HIGH SCHOOL
DOE,SCHOOL - PS 42 ELTINGVILLE
DOE,SCHOOL - PS 121 QUEENS
DOE,SCHOOL - PS 50 TALFOURD LAWN ELEMENTARY SCHOOL
DOE,SCHOOL - PS 42 R VERNAM
DOE,SCHOOL - PS 196 GRAND CENTRAL PARKWAY
DOE,SCHOOL - FLUSHING HIGH SCHOOL
DOE,SCHOOL - QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL
DOE,SCHOOL - PS 215 MORRIS H WEISS
DOE,SCHOOL - MS 180 DR DANIEL HALE WILLIAMS
DOE,SCHOOL - PS 144 COL JEROMUS REMSEN
DOE,SCHOOL - PS 186 DR IRVING A GLADSTONE
DOE,SCHOOL - PS 60 ALICE AUSTEN
DOE,SCHOOL - FOOD AND FINANCE HIGH SCHOOL
DOE,SCHOOL - PS 63 AUTHOR'S ACADEMY
DOE,SCHOOL - JHS 292 MARGARET S DOUGLAS
DOE,SCHOOL - JHS 278 MARINE PARK
DOE,SCHOOL - ADLAI E STEVENSON HIGH SCHOOL
DOE,SCHOOL - JHS 227 EDWARD B SHALLOW
DOE,SCHOOL - JHS 226 VIRGIL I GRISSOM
DOE,SCHOOL - PS 64 JOSEPH P ADDABBO
DOE,SCHOOL - PS 138 BROOKLYN
DOE,SCHOOL - JHS 67 LOUIS PASTEUR
DOE,SCHOOL - PS 207 ELIZABETH G LEARY
DOE,SCHOOL - JOHN F KENNEDY HIGH SCHOOL
DOE,SCHOOL - PS 132 GARRET A MORGAN
DOE,SCHOOL - PS 166 HENRY GRADSTEIN
DOE,SCHOOL - PS 142 AMALIA CASTRO
DOE,SCHOOL - PS 183 ROBERT L STEVENSON
DOE,SCHOOL - PS 22 THOMAS JEFFERSON
DOE,SCHOOL - PS 9 RYER AVENUE ELEMENTARY SCHOOL
DOE,SCHOOL - JHS 8 RICHARD S GROSSLEY
DOE,SCHOOL - PS-IS 72 ANNETTE P GOLDMAN
DOE,SCHOOL - PS 45 HORACE E GREENE
DOE,SCHOOL - IS 223 MOTT HALL
DOE,SCHOOL - JHS 157 STEPHEN A HALSEY
DOE,SCHOOL - INFORMATION TECHNOLOGY HIGH SCHOOL
DOE,SCHOOL - PS 22
DOE,SCHOOL - PS 163 ALFRED E SMITH
DOE,SCHOOL - PS 161 PEDRO ALBIZU CAMPOS
DOE,SCHOOL - PS 375 JACKIE-ROBINSON SCHOOL
DOE,SCHOOL - PS 152 DYCKMAN VALLEY
DOE,SCHOOL - HIGH SCHOOL FOR ENVIRONMENTAL STUDIES
DOE,SCHOOL - JEAN NUZZI INTERMEDIATE SCHOOL
DOE,SCHOOL - PS 95 THE GRAVESEND
DOE,SCHOOL - MS 243 CENTER SCHOOL
DOE,SCHOOL - PS 77
DOE,SCHOOL - PS 44 MARCUS GARVEY
DOE,SCHOOL - GEORGE WASHINGTON YABC
DOE,SCHOOL - PS 160 WILLIAM T SAMPSON
DOE,SCHOOL - PS 200- THE JAMES MCCUNE SMITH SCHOOL
DOE,SCHOOL - PS 156 LAURELTON
DOE,SCHOOL - PS 20 ANNA SILVER
DOE,SCHOOL - PS 68 BRONX
DOE,SCHOOL - PS 200 BENSON SCHOOL
DOE,SCHOOL - PS 82 HAMMOND
DOE,SCHOOL - PS 54 CHARLES W LENG
DOE,SCHOOL - PS 242 GWENDOLYN POWELL BROWN COMPUTER SCHOOL
DOE,SCHOOL - PS 306
DOE,SCHOOL - PS 2 MORRISANIA
DOE,SCHOOL - ABRAHAM LINCOLN HIGH SCHOOL
DOE,SCHOOL - PS 112 LEFFERTS PARK
DOE,SCHOOL - IS 232
DOE,SCHOOL - IS 237
DOE,SCHOOL - PS 126 DR MARJORIE H DUNBAR
DOE,SCHOOL - PS 125 RALPH BUNCHE
DOE,SCHOOL - PS 164 CAESAR RODNEY
DOE,SCHOOL - PS 163 ARTHUR A SCHOMBURG
DOE,SCHOOL - PS 176
DOE,SCHOOL - PS 207
DOE,SCHOOL - PS 128 BENSONHURST
DOE,SCHOOL - PS 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY
DOE,SCHOOL - PS 171 PETER G VAN ALST
DOE,SCHOOL - PS 207 ROCKWOOD PARK
DOE,SCHOOL - PS 97 BRONX
DOE,SCHOOL - PS 217 COLONEL DAVID MARCUS SCHOOL
DOE,SCHOOL - IS 206 ANN MERSEREAU
DOE,SCHOOL - 47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL
DOE,SCHOOL - PS 328 PHYLLIS WHEATLEY
DOE,SCHOOL - JOHN BOWNE HIGH SCHOOL
DOE,SCHOOL - IS 238 SUSAN B ANTHONY
DOE,SCHOOL - THE METROPOLITAN HIGH SCHOOL
DOE,SCHOOL - PS 118 LORRAINE HANSBERRY
DOE,SCHOOL - PS 77 LOWER LAB SCHOOL
DOE,SCHOOL - PS-IS 104 THE FORT HAMILTON SCHOOL
DOE,SCHOOL - PS 214 CADWALLADER COLDEN
DOE,SCHOOL - PS 134 GEORGE F BRISTOW
DOE,SCHOOL - PS 133
DOE,SCHOOL - PS 181 BROOKLYN
DOE,SCHOOL - PORT RICHMOND HIGH SCHOOL
DOE,SCHOOL - PS 180 HUGO NEWMAN
DOE,SCHOOL - PS 20 P O GEORGE J WERDAN III
DOE,SCHOOL - PS 156 WAVERLY
DOE,SCHOOL - PS 157 BENJAMIN FRANKLIN
DOE,SCHOOL - PS 226 ALFRED DE B MASON
DOE,SCHOOL - PS 18 WINCHESTER
DOE,SCHOOL - PS 20 CLINTON HILL
DOE,SCHOOL - PS 18 JOHN G WHITTIER
DOE,SCHOOL - PS 160 WALT DISNEY
DOE,SCHOOL - PS 230 DORIS L COHEN
DOE,SCHOOL - PS 130 ABRAM STEVENS HEWITT
DOE,SCHOOL - PS 212 LADY DEBORAH MOODY
DOE,SCHOOL - PS 92 MARY MCLEOD BETHUNE
DOE,SCHOOL - PS 78 ANNE HUTCHINSON
DOE,SCHOOL - PS 51
DOE,SCHOOL - PS 312 BERGEN BEACH
DOE,SCHOOL - TOTTENVILLE HIGH SCHOOL
DOE,SCHOOL - PS 175 THE LYNN GROSS DISCOVERY SCHOOL
DOE,SCHOOL - PS 41 GREENWICH VILLAGE
DOE,SCHOOL - PS 21 PHILIP H SHERIDAN
DOE,SCHOOL - PS 76 THE BENNINGTON SCHOOL
DOE,SCHOOL - PS 182 SAMANTHA SMITH
DOE,SCHOOL - JAMAICA HIGH SCHOOL
DOE,SCHOOL - PS 188 MICHAEL E BERDY
DOE,SCHOOL - BOYS AND GIRLS HIGH SCHOOL
DOE,SCHOOL - IS 34 TOTTENVILLE
DOE,SCHOOL - PS 7 LOUIS F SIMEONE
DOE,SCHOOL - IS 528 BEA FULLER RODGERS SCHOOL
DOE,SCHOOL - IS 72 ROCCO LAURIE
DOE,SCHOOL - ISAAC NEWTON MIDDLE SCHOOL FOR MATH AND SCIENCE
DOE,SCHOOL - JHS 125 HENRY HUDSON
DOE,SCHOOL - JHS 13 JACKIE ROBINSON
DOE,SCHOOL - JHS 143 ELEANOR ROOSEVELT
DOE,SCHOOL - PS 37
DOE,SCHOOL - PS 117 J KELD - BRIARWOOD SCHOOL
DOE,SCHOOL - PS 34 JOHN HARVARD
DOE,SCHOOL - WEB DUBOIS ACADEMIC HIGH SCHOOL
DOE,SCHOOL - PS 335 GRANVILLE T WOODS
DOE,SCHOOL - JHS 52 INWOOD
DOE,SCHOOL - TRANSIT TECHNOLOGY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
DOE,SCHOOL - PS 315
DOE,SCHOOL - PS 50 FRANK HANKINSON
DOE,SCHOOL - PS 254 DAG HAMMARSKJOLD
DOE,SCHOOL - PS 55 BENJAMIN FRANKLIN
DOE,SCHOOL - STUYVESANT HIGH SCHOOL
DOE,SCHOOL - PS 1 THE BERGEN
DOE,SCHOOL - MANHATTAN SCHOOL FOR CAREER DEVELOPMENT
DOE,SCHOOL - PS 79 CRESTON
DOE,SCHOOL - PS 79 - HORAN SCHOOL
DOE,SCHOOL - PS 116 ELIZABETH L FARRELL
DOE,SCHOOL - PS 83 LUIS MUNOZ RIVERA
DOE,SCHOOL - PS 198
DOE,SCHOOL - PS 30 QUEENS
DOE,"SCHOOL - MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY"
DOE,SCHOOL - IS 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL
DOE,SCHOOL - NYC MUSEUM SCHOOL
DOE,SCHOOL - PS 29 QUEENS
DOE,SCHOOL - NEW UTRECHT HIGH SCHOOL
DOE,SCHOOL - BROOKLYN STUDIO SECONDARY SCHOOL
DOE,SCHOOL - PS 53 BASHEER QUISIM
DOE,SCHOOL - PS 52 JOHN C THOMPSON
DOE,SCHOOL - DEWITT CLINTON HIGH SCHOOL
DOE,SCHOOL - EAST SIDE MIDDLE SCHOOL
DOE,SCHOOL - EDWARD R MURROW HIGH SCHOOL
DOE,SCHOOL - FRANKLIN K LANE HIGH SCHOOL
DOE,SCHOOL - PS 5 HUGUENOT
DOE,SCHOOL - HEALTH PROFESSIONS AND HUMAN SERVICES
DOE,SCHOOL - PS 100 ISAAC CLASON
DOE,SCHOOL - IS 218 SALOME URENA
DOE,SCHOOL - PS 279 HERMAN SCHREIBER
DOE,SCHOOL - PS 102 BAYVIEW
DOE,SCHOOL - HIGH SCHOOL OF HOSPITALITY MANAGEMENT
DOE,SCHOOL - PS 209 CLEARVIEW GARDENS
DOE,SCHOOL - MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS
DOE,SCHOOL - INDEPENDENCE HIGH SCHOOL
DOE,SCHOOL - PS 28 WRIGHT BROTHERS
DOE,SCHOOL - THE HIGH SCHOOL OF FASHION INDUSTRIES
DOE,SCHOOL - PS 15 INSTITUTE FOR ENVIRONMENTAL LEARNING
DOE,SCHOOL - PS 32 THE GIFFORD SCHOOL
DOE,SCHOOL - MS 137 AMERICA'S SCHOOL OF HEROES
DOE,SCHOOL - LOWER MANHATTAN ARTS ACADEMY
DOE,SCHOOL - IS 228 DAVID A BOODY
DOE,SCHOOL - PS 24 SPUYTEN DUYVIL
DOE,SCHOOL - PS 124 OSMOND A CHURCH
DOE,SCHOOL - PS 46 EDWARD C BLUM
DOE,SCHOOL - PS 84 JOSE DE DIEGO
DOE,SCHOOL - PS 15 ROBERTO CLEMENTE
DOE,SCHOOL - PS 255
DOE,SCHOOL - PS 255 BARBARA REING SCHOOL
DOE,"SCHOOL - NEW EXPLORATIONS SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL"
DOE,SCHOOL - PS 106
DOE,SCHOOL - THE 47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL
DOE,SCHOOL - PS 268 EMMA LAZARUS
DOE,SCHOOL - PS 103 HECTOR FONTANEZ
DOE,SCHOOL - PS 101 SCHOOL IN THE GARDENS
DOE,SCHOOL - PS 232 LINDENWOOD
DOE,SCHOOL - PS 203 FLOYD BENNETT
DOE,SCHOOL - ACORN COMMUNITY HIGH SCHOOL
DOE,SCHOOL - PS 219 PAUL KLAPPER
DOE,SCHOOL - PS 29 JOHN M HARRIGAN
DOE,SCHOOL - PS 212 - QUEENS
DOE,SCHOOL - PS 174 DUMONT
DOE,SCHOOL - PS 37 - MULTIPLE INTELLIGENCE SCHOOL
DOE,SCHOOL - PS 277 GERRITSEN BEACH
DOE,SCHOOL - PS 69 DANIEL D TOMPKINS
DOE,SCHOOL - PS 721 BROOKLYN OCCUPATIONAL TRAINING CENTER
DOE,SCHOOL - PS 223 LYNDON B JOHNSON
DOE,SCHOOL - PS 205 FIORELLO LAGUARDIA
DOE,SCHOOL - PS 8 ROBERT FULTON
DOE,SCHOOL - PS 241 FAMILY ACADEMY
DOE,SCHOOL - PS 81 JEAN PAUL RICHTER
DOE,SCHOOL - PS 46 ALLEY POND
DOE,SCHOOL - PS 6 CORPORAL ALLAN F KIVLEHAN SCHOOL
DOE,SCHOOL - PS 23 THE NEW CHILDRENS SCHOOL
DOE,SCHOOL - PS 276 LOUIS MARSHALL
DOE,SCHOOL - PS 55 MAURE
DOE,SCHOOL - PS 20 JOHN BOWNE
DOE,SCHOOL - PS 26 JESSE OWENS
DOE,SCHOOL - BRONX LEADERSHIP ACADEMY II HIGH SCHOOL
DOE,SCHOOL - PS 81 ROBERT J CHRISTEN
DOE,SCHOOL - PS 256
DOE,SCHOOL - PS 308 CLARA CARDWELL
DOE,SCHOOL - HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES
DOE,SCHOOL - PS 215 LUCRETIA MOTT
DOE,SCHOOL - PS 771
DOE,SCHOOL - ANDRIES HUDDE
DOE,SCHOOL - PS 65 - THE LITTLE RED SCHOOL HOUSE
DOE,SCHOOL - PS 48 JOSEPH R DRAKE
DOE,SCHOOL - IS 093 RIDGEWOOD
DOE,SCHOOL - IS 119 THE GLENDALE
DOE,SCHOOL - PS 43
DOE,SCHOOL - MS 319 - MARIA TERESA
DOE,SCHOOL - MAGNET SCHOOL FOR SCIENCE AND TECHNOLOGY
DOE,SCHOOL - PS 251 PAERDEGAT
DOE,SCHOOL - PS 5 DR RONALD MCNAIR
DOE,SCHOOL - BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT
DOE,SCHOOL - PS 64 ROBERT SIMON
DOE,SCHOOL - PS 48 MAPLETON
DOE,SCHOOL - PS 213 NEW LOTS
DOE,SCHOOL - PS 360
DOE,SCHOOL - PS 36 SAINT ALBANS SCHOOL
DOE,SCHOOL - PS 35 NATHANIEL WOODHULL
DOE,SCHOOL - PS 73 BRONX
DOE,SCHOOL - PS 214
DOE,SCHOOL - PS 33 EDWARD M FUNK
DOE,SCHOOL - PS 206 THE HORACE HARDING SCHOOL
DOE,SCHOOL - PS 327 DR ROSE B ENGLISH
DOE,SCHOOL - PS 3 CHARRETTE SCHOOL
DOE,SCHOOL - PS 30 HERNANDEZ-HUGHES
DOE,SCHOOL - MS 245 THE COMPUTER SCHOOL
DOE,SCHOOL - BRONX REGIONAL HIGH SCHOOL
DOE,SCHOOL - PS 12 LEWIS AND CLARK SCHOOL
DOE,SCHOOL - IS 96 SETH LOW
DOE,SCHOOL - IS 75 FRANK D PAULO
DOE,SCHOOL - HILLCREST HIGH SCHOOL
DOE,SCHOOL - FAR ROCKAWAY HIGH SCHOOL
