Agency,Agency Name
DOE,SCHOOL - BRONX HEALTH SCIENCES HIGH SCHOOL
DOE,SCHOOL - BRONX HIGH SCHOOL FOR THE VISUAL ARTS
DOE,SCHOOL - PS 811 CONNIE LEKAS SCHOOL
DOE,SCHOOL - RICHARD R GREEN HIGH SCHOOL OF TEACHING
DOE,SCHOOL - PS 149 CHRISTA MCAULIFFE
DOE,SCHOOL - PS 16 JOHN J DRISCOLL
DOE,SCHOOL - PS 143 LOUIS ARMSTRONG
DOE,SCHOOL - MS 247 DUAL LANGUAGE MIDDLE SCHOOL
DOE,SCHOOL - MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL
DOE,SCHOOL - THE HERITAGE SCHOOL
DOE,SCHOOL - MS 61 DR GLADSTONE H ATWELL
DOE,SCHOOL - PS 110 THEODORE SCHOENFELD
DOE,SCHOOL - RICHMOND HILL HIGH SCHOOL
DOE,SCHOOL - ROSS GLOBAL ACADEMY CHARTER SCHOOL
DOE,SCHOOL - PS 105 THE BLYTHEBOURNE
DOE,SCHOOL - PS 102 JOSEPH O LORETAN
DOE,SCHOOL - PS 102 JACQUES CARTIER
DOE,SCHOOL - PS 1 ALFRED E SMITH
DOE,SCHOOL - JHS 104 SIMON BARUCH
DOE,SCHOOL - SCHOLARS ACADEMY
DOE,SCHOOL - SCHOOL OF PERFORMING ARTS
DOE,SCHOOL - NEW DORP HIGH SCHOOL
DOE,SCHOOL - TALENT UNLIMITED HIGH SCHOOL
DOE,SCHOOL - LIFE SCIENCES SECONDARY SCHOOL
DOE,SCHOOL - LAFAYETTE HIGH SCHOOL
DOE,SCHOOL - JUAN MOREL CAMPOS SECONDARY SCHOOL
DOE,SCHOOL - JOHN DEWEY HIGH SCHOOL
DOE,SCHOOL - PS 161 THE CROWN
DOE,SCHOOL - PS-MS 147 RONALD MCNAIR
DOE,SCHOOL - PS 139 ALEXINE A FENTY
DOE,SCHOOL - PS-IS 54
DOE,SCHOOL - MS 301 PAUL L DUNBAR
DOE,SCHOOL - PS 98 THE DOUGLASTON SCHOOL
DOE,SCHOOL - PS-IS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL
DOE,SCHOOL - PS 153 ADAM CLAYTON POWELL
DOE,SCHOOL - PS-IS 217 ROOSEVELT ISLAND SCHOOL
DOE,SCHOOL - PS 111 JACOB BLACKWELL
DOE,SCHOOL - PS 152 EVERGREEN
DOE,SCHOOL - IS 131 DR SUN YAT SEN
DOE,SCHOOL - IS 171 ABRAHAM LINCOLN
DOE,SCHOOL - CURTIS HIGH SCHOOL
DOE,SCHOOL - COBBLE HILL SCHOOL OF AMERICAN STUDIES
DOE,SCHOOL - CHOIR ACADEMY OF HARLEM
DOE,SCHOOL - CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
DOE,SCHOOL - CENTRAL PARK EAST HIGH SCHOOL
DOE,SCHOOL - BUSINESS SCHOOL FOR ENTREPRENEURIAL STUDIES
DOE,SCHOOL - BUSHWICK SCHOOL FOR SOCIAL JUSTICE
DOE,SCHOOL - BROOKLYN INTERNATIONAL HIGH SCHOOL
DOE,SCHOOL - BROOKLYN HIGH SCHOOL OF THE ARTS
DOE,SCHOOL - BRONX WRITING ACADEMY
DOE,SCHOOL - PS 135 SHELDON A BROOKNER
DOE,SCHOOL - THE BRONX SCHOOL OF SCIENCE INQUIRY AND INVESTIGATION
DOE,SCHOOL - PS 164 QUEENS VALLEY
DOE,SCHOOL - IS 77
DOE,SCHOOL - JHS 80 THE MOSHOLU PARKWAY
DOE,SCHOOL - UNITY CENTER FOR URBAN TECHNOLOGIES
DOE,SCHOOL - JHS 259 WILLIAM MCKINLEY
DOE,SCHOOL - PS 112 DUTCH KILLS
DOE,SCHOOL - JHS 223 THE MONTAUK
DOE,SCHOOL - JHS 217 ROBERT A VAN WYCK
DOE,SCHOOL - JHS 202 ROBERT H GODDARD
DOE,SCHOOL - ELLA BAKER SCHOOL
DOE,SCHOOL - ELEANOR ROOSEVELT HIGH SCHOOL
DOE,SCHOOL - EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL
DOE,SCHOOL - DEMOCRACY PREPARATORY CHARTER SCHOOL
DOE,SCHOOL - PS 58 SCHOOL OF HEROES
DOE,SCHOOL - PS 114 - LUIS LLORENS TORRES SCHOOLS
DOE,SCHOOL - PS 13 M L LINDEMEYER
DOE,SCHOOL - PS 130
DOE,SCHOOL - PS 174 WILLIAM SIDNEY MOUNT
DOE,SCHOOL - PS 146 HOWARD BEACH
DOE,SCHOOL - PS 130 HERNANDO DESOTO
DOE,SCHOOL - PS 96 JOSEPH LANZETTA
DOE,SCHOOL - PS 96 RICHARD RODGERS
DOE,SCHOOL - PS 173
DOE,SCHOOL - PS 172 BEACON SCHOOL OF EXCELLENCE
DOE,SCHOOL - PS 131 BROOKLYN
DOE,SCHOOL - PS 165 EDITH K BERGTRAUM
DOE,SCHOOL - THE BELLAIRE SCHOOL
DOE,SCHOOL - THE ANGELO PATRI MIDDLE SCHOOL
DOE,SCHOOL - PIONEER ACADEMY
DOE,SCHOOL - PS 95 SHEILA MENCHER
DOE,SCHOOL - PS 193 ALFRED J KENNEDY
DOE,SCHOOL - PS 12 JAMES B COLGATE
DOE,SCHOOL - PS 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY
DOE,SCHOOL - PS 194 COUNTEE CULLEN
DOE,SCHOOL - PS 178 - DR SELMAN WAKSMAN
DOE,SCHOOL - PS 60 WOODHAVEN
DOE,SCHOOL - BRONX CHARTER SCHOOL FOR ARTS
DOE,SCHOOL - PS 91 BRONX
DOE,SCHOOL - PS 92 ADRIAN HEGEMAN
DOE,SCHOOL - PS 7 ABRAHAM LINCOLN
DOE,SCHOOL - PS 61 FRANCISCO OLLER
DOE,SCHOOL - A PHILIP RANDOLPH CAMPUS HIGH SCHOOL
DOE,SCHOOL - PS 91 RICHARD ARKWRIGHT
DOE,SCHOOL - PS 99 KEW GARDENS
DOE,SCHOOL - PS 98 SHORAC KAPPOCK
DOE,SCHOOL - PS-IS 178 HOLLISWOOD
DOE,SCHOOL - PS 90 EDNA COHEN SCHOOL
DOE,SCHOOL - BREAD AND ROSES INTEGRATED ARTS HIGH SCHOOL
DOE,SCHOOL - ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL
DOE,SCHOOL - PS 121 NELSON A ROCKEFELLER
DOE,"SCHOOL - SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY, AND THE CREATIVE ARTS"
DOE,SCHOOL - PS 62 CHESTER PARK
DOE,SCHOOL - 723
DOE,SCHOOL - BENJAMIN N CARDOZO HIGH SCHOOL
DOE,SCHOOL - PS 189
DOE,SCHOOL - SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL
DOE,SCHOOL - PS 188
DOE,SCHOOL - PS 95 EASTWOOD
DOE,SCHOOL - ASPIRE PREPARATORY MIDDLE SCHOOL
DOE,SCHOOL - PS 67 CHARLES A DORSEY
DOE,SCHOOL - PS 67 MOHEGAN SCHOOL
DOE,SCHOOL - PS 93 WILLIAM H PRESCOTT
DOE,SCHOOL - PS 92 BRONX
DOE,SCHOOL - PS 97 FOREST PARK
DOE,SCHOOL - PS 191 AMSTERDAM
DOE,SCHOOL - PS 116 MARY LINDLEY MURRAY
DOE,SCHOOL - PS 97 THE HIGHLAWN
DOE,SCHOOL - ACADEMY FOR NEW AMERICANS
DOE,SCHOOL - PS 181 BROOKFIELD
DOE,SCHOOL - ARTS AND MEDIA PREPARATORY ACADEMY
DOE,SCHOOL - YOUNG WOMEN'S LEADERSHIP SCHOOL
DOE,SCHOOL - PS-IS 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP
DOE,SCHOOL - PS 84 STEINWAY
DOE,SCHOOL - PS 128 JUNIPER VALLEY
DOE,SCHOOL - THE ACTIVE LEARNING ELEMENTARY SCHOOL
DOE,SCHOOL - PS 79 FRANCIS LEWIS
DOE,SCHOOL - PS-IS 208
DOE,SCHOOL - SPACE SHUTTLE COLUMBIA SCHOOL
DOE,SCHOOL - PS 91 THE ALBANY AVENUE SCHOOL
DOE,SCHOOL - PS 65 THE RAYMOND YORK ELEMENTARY SCHOOL
DOE,SCHOOL - AGNES Y HUMPHREY SCHOOL FOR LEADERSHIP
DOE,SCHOOL - ACCION ACADEMY
DOE,SCHOOL - BENJAMIN BANNEKER ACADEMY
DOE,SCHOOL - PS 89 ELMHURST
DOE,SCHOOL - PS-IS 323
DOE,SCHOOL - WINGS ACADEMY
DOE,SCHOOL - YOUNG LEADERS ELEMENTARY SCHOOL
DOE,SCHOOL - SCHOOL FOR LEGAL STUDIES
DOE,SCHOOL - SCHOOL FOR INTERNATIONAL STUDIES
DOE,SCHOOL - PS 176 CAMBRIA HEIGHTS
DOE,SCHOOL - PS 85 GREAT EXPECTATIONS
DOE,SCHOOL - PS 80 THURGOOD MARSHALL MAGNET
DOE,SCHOOL - SATELLITE ACADEMY HIGH SCHOOL
DOE,SCHOOL - BRONX DANCE ACADEMY SCHOOL
DOE,SCHOOL - QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE
DOE,SCHOOL - SAMUEL J TILDEN HIGH SCHOOL
DOE,SCHOOL - SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
DOE,SCHOOL - ROBERT E PEARY SCHOOL
DOE,"SCHOOL - QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS, AND THE SCIENCES"
DOE,SCHOOL - PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS
DOE,SCHOOL - PS 811 - MICKEY MANTLE SCHOOL
DOE,SCHOOL - RALPH R MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
DOE,SCHOOL - RALPH A FABRIZIO SCHOOL
DOE,SCHOOL - QUEENS SCHOOL FOR CAREER DEVELOPMENT
DOE,SCHOOL - PS 811 - QUEENS
DOE,SCHOOL - PS 83 DONALD HERTZ
DOE,SCHOOL - MS 321 - MINERVA
DOE,SCHOOL - PS 192 JACOB H SCHIFF
DOE,SCHOOL - MS 35 STEPHEN DECATUR
DOE,SCHOOL - JHS 62 DITMAS
DOE,SCHOOL - PS 29 BARDWELL
DOE,SCHOOL - PS 85 JUDGE CHARLES VALLONE
DOE,SCHOOL - WALTON HIGH SCHOOL GED
DOE,SCHOOL - URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW
DOE,SCHOOL - PS 75 MAYDA CORTIELLA
DOE,SCHOOL - PS-MS 200 - THE POMONOK SCHOOL AND STAR ACADEMY
DOE,SCHOOL - PACIFIC HIGH SCHOOL
DOE,SCHOOL - PAUL ROBESON HIGH SCHOOL
DOE,SCHOOL - THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE
DOE,SCHOOL - PS 59 THE COMMUNITY SCHOOL OF TECHNOLOGY
DOE,SCHOOL - THE SEEALL ACADEMY
DOE,SCHOOL - PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL
DOE,SCHOOL - THE RENAISSANCE CHARTER SCHOOL
DOE,SCHOOL - PS 87 BRONX
DOE,SCHOOL - THE OPPORTUNITY CHARTER SCHOOL
DOE,SCHOOL - THE MICHAEL J PETRIDES SCHOOL
DOE,"SCHOOL - THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS"
DOE,SCHOOL - PS 86 KINGSBRIDGE HEIGHTS
DOE,SCHOOL - PERFORMANCE SCHOOL
DOE,SCHOOL - THE BROOKLYN SCHOOL OF INQUIRY
DOE,SCHOOL - SOUTH SHORE HIGH SCHOOL
DOE,SCHOOL - PS 2 MEYER LONDON
DOE,SCHOOL - PS 58 THE CARROLL
DOE,SCHOOL - MS 390
DOE,SCHOOL - ART AND DESIGN HIGH SCHOOL
DOE,SCHOOL - PS 171 PATRICK HENRY
DOE,SCHOOL - IS 125 THOM J MCCANN WOODSIDE
DOE,SCHOOL - IS 68 ISAAC BILDERSEE
DOE,SCHOOL - NEW WORLD HIGH SCHOOL
DOE,SCHOOL - MARK TWAIN IS 239 FOR THE GIFTED AND TALENTED
DOE,SCHOOL - NEW VOICES SCHOOL OF ACADEMIC AND CREATIVE ARTS
DOE,SCHOOL - NEW DAY ACADEMY
DOE,SCHOOL - NYCISCHOOL
DOE,SCHOOL - PS 107 THOMAS A DOOLEY
DOE,SCHOOL - NYC LABORATORY SCHOOL
DOE,"SCHOOL - NYC CHARTER HIGH SCHOOL FOR ARCHITECTURE, ENGINEERING, AND CONSTRUCTION INDUSTRIES"
DOE,SCHOOL - MUSCOTA
DOE,SCHOOL - PS 101 THE VERRAZANO
DOE,SCHOOL - MOTT HALL HIGH SCHOOL
DOE,SCHOOL - MILLENNIUM HIGH SCHOOL
DOE,SCHOOL - MIDWOOD HIGH SCHOOL
DOE,SCHOOL - MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING
DOE,SCHOOL - JHS 151 LOU GEHRIG
DOE,SCHOOL - JHS 145 ARTURO TOSCANINNI
DOE,SCHOOL - JHS 142 JOHN PHILIP SOUSA
DOE,SCHOOL - EAST NEW YORK FAMILY ACADEMY
DOE,SCHOOL - NYC LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES
DOE,SCHOOL - PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX
DOE,SCHOOL - PS 108 CAPTAIN VINCENT G FOWLER
DOE,SCHOOL - MONROE ACADEMY FOR BUSINESS-LAW
DOE,SCHOOL - PS 102 THE BAYVIEW
DOE,SCHOOL - PS 104 THE BAYS WATER
DOE,SCHOOL - PS 106 EDWARD EVERETT HALE
DOE,SCHOOL - PS 146
DOE,SCHOOL - PS 145 THE BLOOMINGDALE SCHOOL
DOE,SCHOOL - PS 140 EDWARD K ELLINGTON
DOE,SCHOOL - PS 140 EAGLE
DOE,SCHOOL - PS 139 REGO PARK
DOE,SCHOOL - PS 234
DOE,SCHOOL - PS 138 SUNRISE
DOE,SCHOOL - PS 138 SAMUEL RANDALL
DOE,SCHOOL - PS 138
DOE,SCHOOL - PS 134 HENRIETTA SZOLD
DOE,SCHOOL - PS 134
DOE,SCHOOL - PS 133 FRED R MOORE
DOE,SCHOOL - PS 132 THE CONSELYEA SCHOOL
DOE,SCHOOL - PS 132 RALPH BUNCHE
DOE,SCHOOL - PS 130 THE PARKSIDE
DOE,SCHOOL - PS 13 ROBERTO CLEMENTE
DOE,SCHOOL - PS 129 TWIN PARKS UPPER
DOE,SCHOOL - PS 129 PATRICIA LARKIN
DOE,SCHOOL - PS 14 CORNELIUS VANDERBILT
DOE,SCHOOL - PS 333 MANHATTAN SCHOOL FOR CHILDREN
DOE,SCHOOL - PS 34 FRANKLIN D ROOSEVELT
DOE,SCHOOL - PS 290 MANHATTAN NEW SCHOOL
DOE,SCHOOL - PS 107 JOHN W KIMBALL
DOE,SCHOOL - PS 108 PHILIP J ABINANTI
DOE,SCHOOL - MS 101 EDWARD R BYRNE
DOE,SCHOOL - LANDMARK HIGH SCHOOL
DOE,SCHOOL - JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL
DOE,SCHOOL - IS 51 EDWIN MARKHAM
DOE,"SCHOOL - IS 349 MATH, SCIENCE, AND TECHNOLOGY"
DOE,SCHOOL - IS 339
DOE,"SCHOOL - IS 318 MATH, SCIENCE, AND TECHNOLOGY THROUGH ARTS"
DOE,SCHOOL - IS 30 MARY WHITE OVINGTON
DOE,SCHOOL - IS 281 JOSEPH B CAVALLARO
DOE,SCHOOL - IS 231 MAGNETECH 2000
DOE,SCHOOL - IS 227 LOUIS ARMSTRONG
DOE,SCHOOL - IS 219 NEW VENTURE SCHOOL
DOE,SCHOOL - IS 2 GEORGE L EGBERT
DOE,SCHOOL - IS 136 CHARLES O DEWEY
DOE,SCHOOL - IS 10 HORACE GREELEY
DOE,SCHOOL - IS 059 SPRINGFIELD GARDENS
DOE,SCHOOL - IS 025 ADRIEN BLOCK
DOE,SCHOOL - HUMANITIES PREPARATORY ACADEMY
DOE,SCHOOL - HUDSON HONORS MIDDLE SCHOOL
DOE,SCHOOL - HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY
DOE,SCHOOL - HIGH SCHOOL OF ECONOMICS AND FINANCE
DOE,SCHOOL - HIGH SCHOOL OF ARTS AND BUSINESS YABC
DOE,SCHOOL - HIGH SCHOOL OF APPLIED COMMUNICATION
DOE,SCHOOL - HIGH SCHOOL FOR PUBLIC SERVICE - HEROES OF TOMORROW
DOE,SCHOOL - PS 115 DANIEL MUCATEL SCHOOL
DOE,SCHOOL - PS 115 GLEN OAKS
DOE,SCHOOL - IS 61 LEONARDO DA VINCI
DOE,SCHOOL - PS 147 ISAAC REMSEN
DOE,SCHOOL - GRACE DODGE YABC
DOE,SCHOOL - HARLEM DAY CHARTER SCHOOL
DOE,SCHOOL - JHS 88 PETER ROUGET
DOE,SCHOOL - PS 28 THE WARREN PREP ACADEMY
DOE,SCHOOL - JHS 45 JOHN S ROBERTS
DOE,SCHOOL - MAGNET SCHOOL FOR EARLY CHILDHOOD
DOE,SCHOOL - JHS 383 PHILIPPA SCHUYLER
DOE,SCHOOL - JHS 318 EUGENIO MARIA DE HOSTOS
DOE,SCHOOL - JHS 291 ROLAND HAYES
DOE,SCHOOL - JHS 234 ARTHUR W CUNNINGHAM
DOE,SCHOOL - JHS 220 JOHN J PERSHING
DOE,SCHOOL - JHS 216 GEORGE J RYAN
DOE,SCHOOL - JHS 210 ELIZABETH BLACKWELL
DOE,SCHOOL - JHS 194 WILLIAM CARR
DOE,SCHOOL - JHS 189 DANIEL CARTER BEARD
DOE,SCHOOL - JHS 185 EDWARD BLEEKER
DOE,SCHOOL - JHS 167 ROBERT F WAGNER
DOE,SCHOOL - JHS 162 THE WILLOUGHBY
DOE,SCHOOL - MS 51 WILLIAM ALEXANDER
DOE,SCHOOL - MANHATTAN BRIDGES HIGH SCHOOL
DOE,SCHOOL - PS 58
DOE,SCHOOL - NORMAN THOMAS HIGH SCHOOL
DOE,SCHOOL - PS 112 BRONXWOOD
DOE,SCHOOL - PS 109
DOE,SCHOOL - HARLEM RENAISSANCE HIGH SCHOOL
DOE,SCHOOL - HARBOR SCIENCES AND ARTS CHARTER SCHOOL
DOE,SCHOOL - PS 149 DANNY KAYE
DOE,SCHOOL - PS - IS 266
DOE,SCHOOL - PS 150 CHARLES JAMES FOX
DOE,SCHOOL - PS 47 JOHN RANDOLPH
DOE,SCHOOL - PS 41 NEW DORP
DOE,SCHOOL - PS 41 GUN HILL ROAD
DOE,SCHOOL - PS 41 CROCHERON
DOE,SCHOOL - PS 40 GEORGE W CARVER
DOE,SCHOOL - PS 40 AUGUSTUS SAINT GAUDENS
DOE,SCHOOL - PS 398 WALTER WEAVER
DOE,SCHOOL - PS 396 - BRONX
DOE,SCHOOL - PS 39 HENRY BRISTOW
DOE,SCHOOL - PS 376
DOE,SCHOOL - PS 56 THE LOUIS DESARIO SCHOOL
DOE,SCHOOL - PS 370
DOE,SCHOOL - PS 47 CHRIS GALAS
DOE,SCHOOL - PS 57 HUBERT H HUMPHREY
DOE,SCHOOL - PS 369 COY L COX SCHOOL
DOE,SCHOOL - PS 35
DOE,SCHOOL - PS 33 TIMOTHY DWIGHT
DOE,SCHOOL - PS 329 SURFSIDE
DOE,SCHOOL - PS 321 WILLIAM PENN
DOE,SCHOOL - PS 32 SAMUELS MILLS SPROLE
DOE,SCHOOL - PS 32 BELMONT
DOE,SCHOOL - PS 31 WILLIAM T DAVIS
DOE,SCHOOL - PS 24
DOE,SCHOOL - PS 48 P O MICHAEL J BUCZEK
DOE,SCHOOL - PS 48 WILLIAM C WILCOX
DOE,SCHOOL - PS 48 WILLIAM WORDSWORTH
DOE,SCHOOL - IS 49 BERTA A DREYFUS
DOE,SCHOOL - IS 347 SCHOOL OF HUMANITIES
DOE,SCHOOL - IS 340
DOE,SCHOOL - BRONX ACADEMY OF LETTERS
DOE,SCHOOL - IS 303 HERBERT S EISENBERG
DOE,SCHOOL - IS 285 MEYER LEVIN
DOE,SCHOOL - BEACH CHANNEL HIGH SCHOOL
DOE,SCHOOL - IS 211 JOHN WILSON
DOE,SCHOOL - IS 204 OLIVER W HOLMES
DOE,SCHOOL - BAYSIDE HIGH SCHOOL
DOE,SCHOOL - IS 181 PABLO CASALS
DOE,SCHOOL - BAYARD RUSTIN EDUCATIONAL COMPLEX
DOE,SCHOOL - MS 260 CLINTON SCHOOL WRITERS AND ARTISTS
DOE,SCHOOL - JHS 74 NATHANIEL HAWTHORNE
DOE,SCHOOL - MS 172 IRWIN ALTMAN
DOE,SCHOOL - PS 56 LEWIS H LATIMER
DOE,SCHOOL - PS 56 HARRY EICHLER
DOE,SCHOOL - PS 55 HENRY M BOEHM
DOE,SCHOOL - PS 54 HILLSIDE
DOE,SCHOOL - PS 52 SHEEPSHEAD BAY
DOE,SCHOOL - PS 51 ELIAS HOWE
DOE,SCHOOL - PS 50 CLARA BARTON
DOE,SCHOOL - PS 15 PATRICK F DALY
DOE,SCHOOL - PS 299 THOMAS WARREN FIELD
DOE,SCHOOL - PS 298 DR BETTY SHABAZZ
DOE,SCHOOL - PS 49 DOROTHY BONAWIT KOLE
DOE,SCHOOL - PS 288 THE SHIRLEY TANYHILL
DOE,SCHOOL - PS 211
DOE,SCHOOL - PS 206 JOSEPH F LAMB
DOE,SCHOOL - PS 173 FRESH MEADOWS
DOE,SCHOOL - PS 204 VINCE LOMBARDI
DOE,SCHOOL - PS 199 FREDERICK WACHTEL
DOE,SCHOOL - PS 197 BROOKLYN
DOE,SCHOOL - PS 195 WILLIAM HABERLE
DOE,SCHOOL - PS 190 SHEFFIELD
DOE,SCHOOL - PS 189 LINCOLN TERRACE
DOE,SCHOOL - PS 188 ISLAND SCHOOL
DOE,SCHOOL - PS 214 MICHAEL FRIEDSAM
DOE,SCHOOL - PS 186 CASTLEWOOD
DOE,SCHOOL - PS 179 KENSINGTON
DOE,SCHOOL - PS 176 OVINGTON
DOE,SCHOOL - PS 175 HENRY H GARNET
DOE,SCHOOL - PS 2 ALFRED ZIMBERG
DOE,SCHOOL - PS 169 SUNSET PARK
DOE,SCHOOL - PS 169 BAY TERRACE
DOE,SCHOOL - PS 163 BATH BEACH
DOE,SCHOOL - PS 159 ISAAC PITKIN
DOE,SCHOOL - PS 157 GROVE HILL
DOE,SCHOOL - PS 150 TRIBECA LEARNING CENTER
DOE,SCHOOL - PS 18 JOHN PETER ZENGER
DOE,SCHOOL - PS 220 EDWARD MANDEL
DOE,SCHOOL - PS 221 TOUSSAINT L'OUVERTURE
DOE,SCHOOL - PS 24 ANDREW JACKSON
DOE,SCHOOL - PS 238 ANNE SULLIVAN
DOE,SCHOOL - PS 28 THE THOMAS EMANUEL EARLY CHILDHOOD CENTER
DOE,SCHOOL - PS 279 CAPTAIN MANUEL RIVERA JR
DOE,SCHOOL - PS 274 KOSCIUSKO
DOE,SCHOOL - PS 270 JOHANN DEKALB
DOE,SCHOOL - PS 26 RUFUS KING
DOE,SCHOOL - PS 257 JOHN F HYLAN
DOE,SCHOOL - PS 254
DOE,SCHOOL - PS 250 GEORGE H LINDSAY
DOE,SCHOOL - PS 25 EUBIE BLAKE SCHOOL
DOE,SCHOOL - PS 245
DOE,SCHOOL - PS 241 EMMA L JOHNSTON
DOE,SCHOOL - PS 295
DOE,SCHOOL - PS 34 OLIVER H PERRY
DOE,SCHOOL - PS 340
DOE,SCHOOL - PS 236 LANGSTON HUGHES
DOE,SCHOOL - PS 332 CHARLES H HOUSTON
DOE,SCHOOL - PS 127 AEROSPACE SCIENCE MAGNE
DOE,SCHOOL - PS 16 WAKEFIELD
DOE,SCHOOL - PS 230 DR ROLAND N PATTERSON
DOE,SCHOOL - PS 23 RICHMONDTOWN
DOE,SCHOOL - PS 23 CARTER G WOODSON
DOE,SCHOOL - PS 229 DYKER
DOE,SCHOOL - PS 226 - MANHATTAN
DOE,SCHOOL - PS 224
DOF,DOF LEGAL AFFAIRS
DOF,REFUNDS AND ADJUSTMENTS
DOF,PAYMENT OPERATIONS
DOF,DISCREPANCY AND BILLING
DOF,LAND RECORDS
DOF,DEPARTMENT OF FINANCE
DOHMH,DEPARTMENT OF HEALTH AND MENTAL HYGIENE
DOI,DEPARTMENT OF INVESTIGATION
DOITT,DEPARTMENT OF INFORMATION TECHNOLOGY AND TELECOMMUNICATIONS
DORIS,DEPARTMENT OF RECORDS AND INFORMATION SERVICES
DOT,DEPARTMENT OF TRANSPORTATION
DOT,BRIDGE COMMUNITY AFFAIRS
DPR,DEPARTMENT OF PARKS AND RECREATION
DSNY,BRONX 11
DSNY,BCC - BROOKLYN SOUTH
DSNY,BCC - BROOKLYN NORTH
DSNY,A - QUEENS
DSNY,BCC - QUEENS EAST
DSNY,A - BROOKLYN
DSNY,P - COMMERCIAL RECYCLING CITYWIDE
DSNY,MANHATTAN 04
DSNY,BCC - MANHATTAN
DSNY,BRONX 03
DSNY,P - MANHATTAN AND BRONX
DSNY,P - QUEENS
DSNY,BRONX 04
DSNY,DEPARTMENT OF SANITATION
DSNY,BRONX 08
DSNY,BCC - STATEN ISLAND
DSNY,QUEENS WEST 04
DSNY,LOT CLEANING
DSNY,QUEENS WEST 06
DSNY,BRONX 10
DSNY,BROOKLYN SOUTH 10
DSNY,QUEENS WEST 03
DSNY,A - ILLEGAL POSTING MANHATTAN AND BRONX
DSNY,A - STATEN ISLAND
DSNY,QUEENS EAST 10
DSNY,QUEENS EAST 12
DSNY,A - MANHATTAN
DSNY,A - BRONX
DSNY,BCC - QUEENS WEST
DSNY,BCC - BRONX
DSNY,P - BROOKLYN AND STATEN ISLAND
DSNY,A - CANINE TASK FORCE CITYWIDE
DSNY,"A - ILLEGAL POSTING STATEN ISLAND, QUEENS AND BROOKLYN"
DV,MAYOR'S OFFICE TO COMBAT DOMESTIC VIOLENCE
FDNY,FIRE DEPARTMENT OF NEW YORK
HPD,DEPARTMENT OF HOUSING PRESERVATION AND DEVELOPMENT
HRA,HUMAN RESOURCES ADMINISTRATION
MOFTB,"MAYOR'S OFFICE OF FILM, THEATRE AND BROADCASTING"
NYCHA,NEW YORK CITY HOUSING AUTHORITY
NYCSERVICE,NYC SERVICE
NYPD,INVESTIGATION REVIEW SECTION
NYPD,NEW YORK CITY POLICE DEPARTMENT
OATH,OFFICE OF ADMINISTRATIVE TRIALS AND HEARINGS
SBS,SMALL BUSINESS SERVICES
TLC,TAXI AND LIMOUSINE COMMISSION
TLC,CORRESPONDENCE - TAXI AND LIMOUSINE COMMISSION
